"year","country","pop","gdp"
2422,"USA",106.80540587161596,8508.705877364626
2423,"USA",106.73748326003002,8504.130883394853
2424,"USA",106.67012516372436,8499.591919162292
2425,"USA",106.60332656446631,8495.088686491308
2426,"USA",106.5370824936403,8490.620889901353
2427,"USA",106.4713880316823,8486.18823657923
2428,"USA",106.4062383075219,8481.790436351672
2429,"USA",106.3416284980318,8477.42720165826
2430,"USA",106.27755382748444,8473.098247524658
2431,"USA",106.21400956701612,8468.803291536167
2432,"USA",106.1509910340978,8464.542053811601
2433,"USA",106.08849359201317,8460.31425697747
2434,"USA",106.02651264934346,8456.119626142468
2435,"USA",105.96504365945908,8451.957888872255
2436,"USA",105.90408212001776,8447.82877516456
2437,"USA",105.84362357246938,8443.732017424556
2438,"USA",105.78366360156726,8439.667350440528
2439,"USA",105.7241978348857,8435.634511359842
2440,"USA",105.66522194234392,8431.633239665178
2441,"USA",105.60673163573604,8427.663277151054
2442,"USA",105.54872266826727,8423.724367900611
2443,"USA",105.49119083409596,8419.816258262688
2444,"USA",105.4341319678816,8415.938696829142
2445,"USA",105.37754194433865,8412.091434412449
2446,"USA",105.3214166777961,8408.27422402356
2447,"USA",105.26575212176265,8404.486820850005
2448,"USA",105.21054426849736,8400.728982234268
2449,"USA",105.15578914858604,8397.000467652388
2450,"USA",105.10148283052266,8393.301038692829
2451,"USA",105.04762142029637,8389.630459035581
2452,"USA",104.99420106098364,8385.988494431493
2453,"USA",104.9412179323456,8382.37491268187
2454,"USA",104.88866825043044,8378.789483618275
2455,"USA",104.83654826718067,8375.231979082566
2456,"USA",104.78485427004584,8371.702172907188
2457,"USA",104.73358258159926,8368.19984089564
2458,"USA",104.68272955916048,8364.72476080322
2459,"USA",104.63229159442176,8361.276712317935
2460,"USA",104.58226511307949,8357.855477041669
2461,"USA",104.53264657447028,8354.460838471534
2462,"USA",104.48343247121144,8351.092581981451
2463,"USA",104.43461932884593,8347.750494803935
2464,"USA",104.38620370549168,8344.434366012063
2465,"USA",104.33818219149542,8341.143986501675
2466,"USA",104.29055140909064,8337.879148973758
2467,"USA",104.2433080120596,8334.639647917027
2468,"USA",104.1964486854,8331.4252795907
2469,"USA",104.14997014499504,8328.235842007472
2470,"USA",104.10386913728816,8325.071134916669
2471,"USA",104.05814243896135,8321.930959787589
2472,"USA",104.01278685661762,8318.81511979304
2473,"USA",103.96779922646706,8315.723419793045
2474,"USA",103.92317641401704,8312.655666318735
2475,"USA",103.87891531376596,8309.61166755641
2476,"USA",103.8350128489007,8306.591233331788
2477,"USA",103.79146597099788,8303.594175094426
2478,"USA",103.7482716597285,8300.620305902294
2479,"USA",103.70542692256636,8297.669440406533
2480,"USA",103.6629287944998,8294.741394836388
2481,"USA",103.62077433774704,8291.835986984277
2482,"USA",103.57896064147474,8288.953036191047
2483,"USA",103.53748482152017,8286.092363331381
2484,"USA",103.4963440201164,8283.253790799365
2485,"USA",103.45553540562116,8280.437142494202
2486,"USA",103.41505617224834,8277.642243806098
2487,"USA",103.37490353980331,8274.868921602283
2488,"USA",103.33507475342093,8272.117004213198
2489,"USA",103.29556708330674,8269.38632141881
2490,"USA",103.25637782448136,8266.676704435095
2491,"USA",103.21750429652772,8263.987985900654
2492,"USA",103.17894384334136,8261.31999986347
2493,"USA",103.1406938328836,8258.672581767818
2494,"USA",103.10275165693764,8256.045568441297
2495,"USA",103.0651147308674,8253.438798082027
2496,"USA",103.02778049337935,8250.852110245938
2497,"USA",102.99074640628707,8248.285345834245
2498,"USA",102.9540099542783,8245.73834708102
2499,"USA",102.91756864468503,8243.210957540903
2500,"USA",102.88142000725604,8240.703022076957
2501,"USA",102.8455615939322,8238.214386848622
2502,"USA",102.80999097862411,8235.744899299829
2503,"USA",102.77470575699274,8233.294408147209
2504,"USA",102.73970354623206,8230.862763368455
2505,"USA",102.7049819848546,8228.449816190772
2506,"USA",102.67053873247916,8226.055419079474
2507,"USA",102.63637146962124,8223.679425726687
2508,"USA",102.60247789748551,8221.321691040177
2509,"USA",102.56885573776096,8218.98207113229
2510,"USA",102.53550273241817,8216.660423308997
2511,"USA",102.5024166435089,8214.356606059078
2512,"USA",102.4695952529682,8212.07047904339
2513,"USA",102.43703636241835,8209.801903084259
2514,"USA",102.40473779297528,8207.55074015498
2515,"USA",102.37269738505714,8205.316853369428
2516,"USA",102.34091299819494,8203.100106971771
2517,"USA",102.3093825108454,8200.900366326281
2518,"USA",102.27810382020584,8198.717497907268
2519,"USA",102.24707484203113,8196.551369289104
2520,"USA",102.2162935104528,8194.40184913635
2521,"USA",102.18575777779992,8192.268807193977
2522,"USA",102.15546561442233,8190.152114277709
2523,"USA",102.1254150085154,8188.05164226444
2524,"USA",102.09560396594718,8185.967264082752
2525,"USA",102.06603051008707,8183.898853703544
2526,"USA",102.03669268163668,8181.846286130737
2527,"USA",102.0075885384623,8179.809437392089
2528,"USA",101.97871615542952,8177.788184530088
2529,"USA",101.9500736242393,8175.782405592943
2530,"USA",101.92165905326615,8173.791979625668
2531,"USA",101.893470567398,8171.816786661251
2532,"USA",101.86550630787758,8169.85670771192
2533,"USA",101.83776443214592,8167.911624760472
2534,"USA",101.81024311368732,8165.981420751724
2535,"USA",101.78294054187604,8164.065979584019
2536,"USA",101.75585492182456,8162.165186100832
2537,"USA",101.7289844742338,8160.278926082458
2538,"USA",101.7023274352446,8158.407086237771
2539,"USA",101.67588205629104,8156.549554196086
2540,"USA",101.64964660395508,8154.70621849907
2541,"USA",101.6236193598232,8152.876968592768
2542,"USA",101.59779862034412,8151.061694819687
2543,"USA",101.57218269668834,8149.260288410952
2544,"USA",101.54676991460909,8147.472641478563
2545,"USA",101.52155861430464,8145.698647007696
2546,"USA",101.4965471502825,8143.93819884912
2547,"USA",101.4717338912244,8142.191191711638
2548,"USA",101.4471172198534,8140.457521154645
2549,"USA",101.42269553280192,8138.737083580741
2550,"USA",101.3984672404814,8137.02977622841
2551,"USA",101.37443076695324,8135.335497164788
2552,"USA",101.35058454980128,8133.654145278472
2553,"USA",101.32692704000524,8131.985620272438
2554,"USA",101.30345670181606,8130.329822656985
2555,"USA",101.28017201263197,8128.686653742786
2556,"USA",101.25707146287628,8127.056015633978
2557,"USA",101.2341535558763,8125.437811221332
2558,"USA",101.21141680774345,8123.831944175482
2559,"USA",101.1888597472547,8122.238318940227
2560,"USA",101.16648091573538,8120.656840725889
2561,"USA",101.14427886694295,8119.0874155027395
2562,"USA",101.12225216695217,8117.52994999448
2563,"USA",101.10039939404136,8115.984351671814
2564,"USA",101.07871913857991,8114.450528746026
2565,"USA",101.057210002917,8112.92839016268
2566,"USA",101.03587060127116,8111.417845595341
2567,"USA",101.01469955962156,8109.918805439369
2568,"USA",100.9936955155997,8108.431180805763
2569,"USA",100.97285711838288,8106.954883515077
2570,"USA",100.95218302858828,8105.489826091389
2571,"USA",100.9316719181684,8104.035921756316
2572,"USA",100.91132247030748,8102.593084423094
2573,"USA",100.8911333793189,8101.161228690722
2574,"USA",100.87110335054382,8099.740269838138
2575,"USA",100.85123110025069,8098.33012381848
2576,"USA",100.83151535553584,8096.930707253372
2577,"USA",100.81195485422504,8095.541937427281
2578,"USA",100.79254834477624,8094.16373228192
2579,"USA",100.77329458618291,8092.796010410705
2580,"USA",100.75419234787888,8091.438691053269
2581,"USA",100.73524040964362,8090.091694090011
2582,"USA",100.71643756150888,8088.754940036716
2583,"USA",100.69778260366596,8087.428350039212
2584,"USA",100.6792743463743,8086.111845868074
2585,"USA",100.66091160987044,8084.805349913393
2586,"USA",100.64269322427847,8083.5087851795715
2587,"USA",100.62461802952096,8082.222075280191
2588,"USA",100.60668487523095,8080.945144432905
2589,"USA",100.58889262066486,8079.677917454391
2590,"USA",100.57124013461612,8078.420319755346
2591,"USA",100.55372629532982,8077.1722773355295
2592,"USA",100.53634999041812,8075.933716778853
2593,"USA",100.5191101167765,8074.704565248502
2594,"USA",100.50200558050084,8073.484750482129
2595,"USA",100.48503529680536,8072.274200787052
2596,"USA",100.4681981899414,8071.072845035544
2597,"USA",100.45149319311685,8069.880612660119
2598,"USA",100.43491924841652,8068.697433648898
2599,"USA",100.41847530672328,8067.523238540994
2600,"USA",100.40216032763992,8066.35795842194
2601,"USA",100.38597327941176,8065.201524919178
2602,"USA",100.36991313885018,8064.053870197568
2603,"USA",100.35397889125662,8062.914926954945
2604,"USA",100.3381695303476,8061.7846284177185
2605,"USA",100.32248405818028,8060.662908336506
2606,"USA",100.30692148507892,8059.549700981814
2607,"USA",100.29148082956188,8058.444941139749
2608,"USA",100.27616111826936,8057.348564107773
2609,"USA",100.260961385892,8056.260505690496
2610,"USA",100.24588067510004,8055.180702195507
2611,"USA",100.23091803647308,8054.1090904292305
2612,"USA",100.21607252843074,8053.045607692848
2613,"USA",100.20134321716388,8051.990191778222
2614,"USA",100.18672917656636,8050.942780963881
2615,"USA",100.17222948816772,8049.9033140110305
2616,"USA",100.1578432410663,8048.871730159602
2617,"USA",100.14356953186304,8047.84796912433
2618,"USA",100.129407464596,8046.831971090884
2619,"USA",100.11535615067542,8045.823676712001
2620,"USA",100.1014147088194,8044.823027103688
2621,"USA",100.08758226499032,8043.829963841436
2622,"USA",100.07385795233168,8042.844428956478
2623,"USA",100.06024091110574,8041.866364932061
