File Description: RCMIP SSP119 effective radiative forcing scenario from 1750-2500.,,,,,,,,,,,,,,,,,
"Code Source: Extracted using default Python model version of FAIR2.0, available at https://github.com/njleach/
FAIR/tree/47c6eec031d2edcf09424394dbb86581a1b246ba",,,,,,,,,,,,,,,,,
"Paper Reference: Leach et al. 2021. ""FaIRv2.0.0: a generalized impulse response model for climate
uncertainty and future scenario exploration,"" Geoscientific Model Development. https://doi.org/10.5194/gmd-14-3007-2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
year,co2,ch4,n2o,other_wmghg,o3_tropospheric,o3_stratospheric,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
1843,0.127594813,0.043296504,-0.004267554,2.69E-08,0.0186,0,0.005541033,0,-0.014173292,-0.047197995,0.003537085,-0.027232827,0.184925489,-0.058437566,0.105697794,0.126487922,0.232185716
1844,0.128440355,0.044578444,-0.0041281,2.72E-08,0.0188,0,0.005705094,0,-0.013151964,-0.048024841,0.003906261,-0.027776729,0.185358929,-0.076971062,0.108348547,0.108387867,0.216736414
1845,0.130721184,0.045810154,-0.004155074,2.76E-08,0.019,0,0.005862727,0,-0.017420999,-0.056895729,0.004217859,-0.028320631,0.185504535,-0.078219109,0.098819518,0.107285425,0.206104943
1846,0.133118939,0.046766282,-0.003849355,2.79E-08,0.0192,0,0.005985091,0,-0.015190818,-0.053391473,0.004215601,-0.028864533,0.003351391,-0.065847845,0.107989762,-0.062496453,0.045493309
1847,0.134867398,0.047175055,-0.003567513,2.83E-08,0.0194,0,0.006037405,0,-0.018157564,-0.061521112,0.00477896,-0.029408436,0.059677338,-0.053507781,0.099604222,0.006169556,0.105773779
1848,0.137459806,0.047267841,-0.003323121,2.86E-08,0.0196,0,0.00604928,0,-0.022730323,-0.072197725,0.005414575,-0.029952338,0.140345818,-0.041136516,0.087588025,0.099209302,0.186797327
1849,0.140188526,0.047341354,-0.00308894,2.89E-08,0.0198,0,0.006058688,0,-0.021076681,-0.068323256,0.00513233,-0.030553012,0.170250407,-0.028765252,0.095479039,0.141485155,0.236964194
1850,0.142347045,0.047361462,-0.002861574,2.96E-08,0.019,0,0.006061261,0,-0.022474227,-0.071898189,0.005343449,-0.03125688,0.180561804,-0.016440789,0.091622378,0.164121015,0.255743394
1851,0.144975578,0.047460238,-0.002613866,3.22E-08,0.0192,0,0.006073903,0,-0.018162996,-0.062535978,0.004842183,-0.031960748,0.184128628,-0.021900994,0.107278347,0.162227634,0.269505981
1852,0.147857663,0.047909538,-0.002362781,3.51E-08,0.0194,0,0.006131403,0,-0.016111854,-0.05837187,0.004626548,-0.032664616,0.179356169,-0.022712224,0.116414066,0.156643944,0.27305801
1853,0.150463935,0.048653539,-0.002037106,3.81E-08,0.0196,0,0.00622662,0,-0.017754665,-0.062429726,0.004854602,-0.033368484,0.015703084,-0.032837005,0.114208752,-0.017133921,0.097074831
1854,0.152716599,0.049449134,-0.001701339,4.10E-08,0.0198,0,0.006328439,0,-0.023971357,-0.078139966,0.005782621,-0.034072352,-0.014296783,-0.046690325,0.09619182,-0.060987108,0.035204712
1855,0.154576796,0.050406688,-0.001338526,4.40E-08,0.02,0,0.006450986,1.36E-10,-0.020616464,-0.07204024,0.005594082,-0.03477622,0.112764424,-0.055223846,0.108257146,0.057540578,0.165797725
1856,0.156690742,0.051282017,-0.000972433,4.70E-08,0.0202,0,0.006563009,2.32E-10,-0.021118017,-0.07203754,0.005369415,-0.035480088,0.122071441,-0.057610735,0.110497152,0.064460706,0.174957858
1857,0.159723814,0.052271195,-0.000643685,5.00E-08,0.0204,0,0.006689603,4.79E-10,-0.023273368,-0.079358644,0.0060818,-0.036183956,-0.045007502,-0.051635711,0.105706808,-0.096643213,0.009063595
1858,0.162950841,0.05340676,-0.000369227,5.30E-08,0.0206,0,0.006834931,7.67E-10,-0.024852397,-0.083374218,0.006348239,-0.036887825,0.086103655,-0.034771477,0.104657157,0.051332178,0.155989335
1859,0.166390803,0.054622773,0.000101599,5.61E-08,0.0208,0,0.006990555,7.86E-10,-0.025287681,-0.083824679,0.00621389,-0.037591693,0.153319259,-0.020512542,0.108415624,0.132806717,0.241222341
1860,0.170180332,0.055762704,0.000646738,5.91E-08,0.021,0,0.007136442,4.91E-09,-0.02675581,-0.086860645,0.006216148,-0.038295561,0.176585203,-0.009935345,0.109030414,0.166649858,0.275680272
1861,0.173967585,0.0570027,0.001269503,6.22E-08,0.0212,0,0.007295135,2.05E-08,-0.025605449,-0.086873239,0.006463394,-0.038999429,0.116052053,-0.012057024,0.115720283,0.103995028,0.219715311
1862,0.177225628,0.058563185,0.001864928,7.43E-08,0.0214,0,0.007494844,3.80E-08,-0.026016725,-0.086240962,0.006218406,-0.039703297,-0.623984002,-0.024319085,0.120806119,-0.648303087,-0.527496967
1863,0.180559966,0.060421337,0.002389025,7.74E-08,0.0216,0,0.007732648,4.25E-08,-0.023478023,-0.081823761,0.006000514,-0.040407165,-0.258757079,-0.031510955,0.132994661,-0.290268034,-0.157273373
1864,0.183892469,0.062453541,0.002892634,8.05E-08,0.0218,0,0.007992727,4.20E-08,-0.023086338,-0.084295285,0.00643517,-0.041111033,0.037815676,-0.03856242,0.136974007,-0.000746744,0.136227263
1865,0.187242443,0.064394024,0.003433156,8.37E-08,0.022,0,0.008241068,5.56E-08,-0.028562505,-0.09636701,0.007026754,-0.041814901,0.142744697,-0.044241033,0.125593168,0.098503664,0.224096832
1866,0.190493343,0.06643503,0.004000496,8.69E-08,0.0228,0,0.008502273,9.23E-08,-0.026191157,-0.092620953,0.006914985,-0.04251877,0.174226303,-0.047127141,0.137815426,0.127099162,0.264914588
1867,0.193878689,0.068568321,0.004557413,9.92E-08,0.0236,0,0.008775289,1.02E-07,-0.029766177,-0.10194352,0.007487377,-0.043222638,0.184485005,-0.051510906,0.131934955,0.132974098,0.264909054
1868,0.196795336,0.07047471,0.005157984,1.02E-07,0.0244,0,0.009019266,1.33E-07,-0.034312233,-0.112948236,0.008211051,-0.043926506,0.187964496,-0.041729339,0.122871608,0.146235157,0.269106765
